application_id,application_name,input_gb,shuffle_ratio,worker_type,vcpu,memory_gb,max_executors,shuffle_partitions,auto_tuned,total_vcpu
eventlog_v2_00g0dtj5r0om5o0b,eg-user-attribute-store-bookings-batch,20873.32,46.18,Large,16,108,191,4938,True,3056
eventlog_v2_00g0nlpd9atac00b,eg-user-attribute-store-bookings-batch,20812.97,44.34,Large,16,108,172,4742,True,2752
eventlog_v2_00g0sjo9nvpmbg0b,eg-user-attribute-store-bookings-batch,20639.99,45.39,Large,16,108,203,4850,True,3248
eventlog_v2_00g0h5qv44poj00b,eg-user-attribute-store-bookings-batch,20374.26,16.38,Large,16,108,225,1904,True,3600
eventlog_v2_00g0sldkhuh2c80b,eg-user-attribute-store-bookings-batch,19958.53,18.08,Large,16,108,186,2156,True,2976
eventlog_v2_00g0sm9oclc0000b,eg-user-attribute-store-bookings-batch,19853.88,18.15,Large,16,108,202,2146,True,3232
eventlog_v2_00g0d965vta5qg0b,eg-user-attribute-store-bookings-batch,7057.4,12.88,Large,16,108,59,468,True,944
eventlog_v2_00g0h8bgmlcdt00b,expd-ap-bk-dtl-incremental,12.14,16601.48,Large,16,108,22,1008,True,352
eventlog_v2_00g0jaejehl1980b,advertising-auction-insights-aggregations-producer,0.16,3199625.0,Large,16,108,64,2560,True,1024
eventlog_v2_00g0h6lg83h17g0b,expd-ap-bk-dtl-incremental,0.02,10081900.0,Large,16,108,22,1008,True,352
